id,year,week,postseason,id_home_team,id_away_team,points_home,points_away,completed,conference_game
107,1879,7,0,164,171,0.0,0.0,1,0
108,1879,7,0,171,43,0.0,2.0,1,0
109,1879,7,0,1000055,164,3.0,3.0,1,0
110,1879,8,0,164,1000055,1.0,3.0,1,0
111,1879,8,0,43,163,0.0,0.0,1,0
112,1879,9,0,1000071,1000055,0.0,0.0,1,0
113,1879,10,0,164,1000055,0.0,0.0,1,0
114,1880,1,0,164,1000055,5.0,1.0,1,0
115,1880,2,0,1000055,164,0.0,1.0,1,0
116,1880,2,0,108,1000072,0.0,0.0,1,0
117,1880,3,0,219,1000075,5.0,0.0,1,0
118,1880,3,0,163,1000055,6.0,0.0,1,0
119,1880,3,0,1000074,108,1.0,2.0,1,0
120,1880,4,0,163,219,1.0,0.0,1,0
121,1880,4,0,108,1000076,0.0,0.0,1,0
122,1880,5,0,1000055,1000066,2.0,0.0,1,0
123,1880,5,0,163,164,8.0,0.0,1,0
124,1880,5,0,219,1000055,3.0,0.0,1,0
125,1880,5,0,171,108,0.0,3.0,1,0
126,1880,6,0,43,171,13.0,0.0,1,0
127,1880,6,0,171,164,3.0,0.0,1,0
128,1880,6,0,1000055,219,0.0,5.0,1,0
129,1880,6,0,43,225,8.0,0.0,1,0
130,1880,6,0,163,108,2.0,1.0,1,0
131,1880,7,0,43,219,8.0,0.0,1,0
132,1880,7,0,108,43,0.0,1.0,1,0
133,1880,8,0,43,163,0.0,0.0,1,0
134,1881,1,0,1000076,108,0.0,2.0,1,0
135,1881,2,0,1000074,108,1.0,9.0,1,0
136,1881,2,0,163,164,3.0,0.0,1,0
137,1881,3,0,1000072,108,0.0,2.0,1,0
138,1881,3,0,163,1000055,7.0,0.0,1,0
139,1881,4,0,7,43,0.0,2.0,1,0
140,1881,4,0,219,163,0.0,7.0,1,0
141,1881,4,0,108,130,1.0,0.0,1,0
142,1881,4,0,1000055,171,1.0,3.0,1,0
143,1881,5,0,108,219,2.0,0.0,1,0
144,1881,5,0,43,130,2.0,0.0,1,0
145,1881,5,0,1000055,164,1.0,0.0,1,0
146,1881,5,0,163,130,1.0,0.0,1,0
147,1881,5,0,108,171,1.0,0.0,1,0
148,1881,5,0,1000066,1000055,2.0,2.0,1,0
149,1881,5,0,163,219,4.0,0.0,1,0
150,1881,5,0,43,7,4.0,0.0,1,0
151,1881,6,0,171,164,0.0,0.0,1,0
152,1881,6,0,164,163,0.0,1.0,1,0
153,1881,6,0,7,159,0.0,1.0,1,0
154,1881,6,0,43,108,1.0,0.0,1,0
155,1881,6,0,163,171,1.0,0.0,1,0
156,1881,7,0,171,43,0.0,1.0,1,0
157,1881,7,0,164,1000066,10.0,0.0,1,0
158,1881,7,0,219,164,1.0,2.0,1,0
