id,year,week,postseason,id_home_team,id_away_team,points_home,points_away,completed,conference_game,home_team_id,home_team_full_name,home_team_school_name,home_team_mascot,away_team_id,away_team_full_name,away_team_school_name,away_team_mascot,home_team_ranking,away_team_ranking
96172,2022,10,0,18,2967,,,1,1,18,Bridgewater State Bears,Bridgewater State,Bears,2967,Framingham State Rams,Framingham State,Rams,-1.0,-1.0
96521,2022,11,0,2108,81,,,1,1,2108,Catholic University Cardinals,Catholic University,Cardinals,81,Springfield Pride,Springfield,Pride,-1.0,-1.0
89928,2019,11,0,2717,2193,,,0,1,2717,Western Carolina Catamounts,Western Carolina,Catamounts,2193,ETSU Buccaneers,East Tennessee State,Buccaneers,-1.0,-1.0
89925,2019,11,0,256,160,,,0,1,256,James Madison Dukes,James Madison,Dukes,160,New Hampshire Wildcats,New Hampshire,Wildcats,-1.0,-1.0
96609,2022,11,0,2003,354,,,1,1,2003,Adrian Bulldogs,Adrian,Bulldogs,354,Olivet College Comets,Olivet College,Comets,-1.0,-1.0
96464,2022,10,0,2923,2850,,,1,1,2923,Pomona-Pitzer Sagehens,Pomona-Pitzer,Sagehens,2850,Whittier Poets,Whittier,Poets,-1.0,-1.0
96692,2022,11,0,2028,2568,,,1,1,2028,Arkansas-Monticello Weevils,Arkansas-Monticello,Weevils,2568,Southern Arkansas Muleriders,Southern Arkansas,Muleriders,-1.0,-1.0
89923,2019,11,0,149,70,,,0,1,149,Montana Grizzlies,Montana,Grizzlies,70,Idaho Vandals,Idaho,Vandals,-1.0,-1.0
89940,2019,11,0,2464,16,,,0,1,2464,Northern Arizona Lumberjacks,Northern Arizona,Lumberjacks,16,Sacramento State Hornets,Sacramento State,Hornets,-1.0,-1.0
96199,2022,10,0,2843,114,,,1,1,2843,Western Connecticut State Colonials,Western Connecticut State,Colonials,114,Fitchburg State Falcons,Fitchburg State,Falcons,-1.0,-1.0
96271,2022,10,0,455,341,,,1,1,455,WV Wesleyan Bobcats,WV Wesleyan,Bobcats,341,Frostburg State Bobcats,Frostburg State,Bobcats,-1.0,-1.0
96293,2022,10,0,2964,67,,,1,1,2964,Central Dutch,Central,Dutch,67,Luther Norse,Luther,Norse,-1.0,-1.0
96241,2022,10,0,2790,354,,,1,1,2790,Albion Britons,Albion,Britons,354,Olivet College Comets,Olivet College,Comets,-1.0,-1.0
96237,2022,10,0,2234,323,,,1,1,2234,Franklin & Marshall Diplomats,Franklin & Marshall,Diplomats,323,Moravian Greyhounds,Moravian,Greyhounds,-1.0,-1.0
96234,2022,10,0,2748,2171,,,1,1,2748,Wooster Fighting Scots,Wooster,Fighting Scots,2171,Denison Big Red,Denison,Big Red,-1.0,-1.0
96465,2022,10,0,411,2094,,,1,1,411,Chapman Panthers,Chapman,Panthers,2094,Cal Lutheran Kingsmen,Cal Lutheran,Kingsmen,-1.0,-1.0
97057,2022,15,0,2222,110242,,,1,0,2222,Ferris State Bulldogs,Ferris State,Bulldogs,110242,West Florida Argonauts,West Florida,Argonauts,-1.0,-1.0
96352,2022,10,0,2042,2106,,,1,1,2042,Augustana (IL) Vikings,Augustana (IL),Vikings,2106,Carthage Redmen,Carthage,Redmen,-1.0,-1.0
96582,2022,11,0,2364,2851,,,1,1,2364,Minnesota State Mavericks,Minnesota State,Mavericks,2851,Winona State Warriors,Winona State,Warriors,-1.0,-1.0
96255,2022,10,0,2047,2258,,,1,0,2047,Averett Cougars,Averett,Cougars,2258,Guilford Quakers,Guilford,Quakers,-1.0,-1.0
96341,2022,10,0,306,3071,,,1,1,306,Illinois Wesleyan Titans,Illinois Wesleyan,Titans,3071,North Central Cardinals,North Central,Cardinals,-1.0,-1.0
96988,2022,13,0,203,2802,,,1,0,203,Linfield Wildcats,Linfield,Wildcats,2802,Bethel (MN) Royals,Bethel (MN),Royals,-1.0,-1.0
85165,2016,10,0,2619,2729,,,0,1,2619,Stony Brook Seawolves,Stony Brook,Seawolves,2729,William & Mary Tribe,William & Mary,Tribe,-1.0,-1.0
96549,2022,11,0,2818,2970,,,1,1,2818,Montclair State Red Hawks,Montclair State,Red Hawks,2970,William Paterson Pioneers,William Paterson,Pioneers,-1.0,-1.0
96211,2022,10,0,2830,2038,,,1,1,2830,St. Anselm Hawks,St. Anselm,Hawks,2038,Assumption Greyhounds,Assumption,Greyhounds,-1.0,-1.0
96559,2022,11,0,374,390,,,1,1,374,St. John Fisher Cardinals,St. John Fisher,Cardinals,390,Utica Pioneers,Utica,Pioneers,-1.0,-1.0
